C2H2+ + E	C2 + H + H		
C2H2+ + E	1CH2 + CH		
C2H2+ + E	3CH2 + CH		
C2H2+ + E	C2 + H2		
C2H6+ + E	dummy		
C2H7+ + E	dummy		
C3+ + E	C3		
C3+ + E	C2 + C		
C3+ + E	C + C + C		
C3H+ + E	C3 + H		
C3H+ + E	C2H + C		
C3H+ + E	C2 + CH		
C3H2+ + E	C3H + H		
C3H2+ + E	C3 + H + H		
C3H2+ + E	C3 + H2		
C3H2+ + E	C2H + CH		
C3H2+ + E	C2 + C + H		
C3H5+ + E	CH3C2H + H		
C3H5+ + E	CH2CCH2 + H		
C3H5+ + E	C3H3 + H2		
C3H5+ + E	C3H3 + H + H		
C3H5+ + E	C3H2 + H2 + H		
C3H5+ + E	C3H + H2 + H2		
C3H5+ + E	C2H5 + C		
C3H5+ + E	C2H4 + CH		
C3H5+ + E	C2H3 + 1CH2		
C3H5+ + E	C2H3 + 3CH2		
C3H5+ + E	C2H2 + 1CH2 + H		
C3H5+ + E	C2H2 + 3CH2 + H		
C3H5+ + E	C2H2 + CH + H2		
C3H5+ + E	C2H2 + CH3		
C3H5+ + E	C2H + CH3 + H		
C3H5+ + E	C2H + CH4		
C3H6+ + E	C3H5 + H		
C3H6+ + E	CH3C2H + H + H		
C3H6+ + E	CH2CCH2 + H + H		
C3H6+ + E	CH3C2H + H2		
C3H6+ + E	CH2CCH2 + H2		
C3H6+ + E	C3H3 + H2 + H		
C3H6+ + E	C3H2 + H2 + H2		
C3H6+ + E	C3H2 + H2 + H + H		
C3H6+ + E	C2H5 + CH		
C3H6+ + E	C2H4 + 1CH2		
C3H6+ + E	C2H4 + 3CH2		
C3H6+ + E	C2H4 + CH + H		
C3H6+ + E	C2H4 + C + H2		
C3H6+ + E	C2H3 + CH + H2		
C3H6+ + E	C2H3 + CH3		
C3H6+ + E	C2H2 + CH4		
C3H6+ + E	C2H2 + 1CH2 + H2		
C3H6+ + E	C2H2 + 3CH2 + H2		
C3H6+ + E	C2H2 + CH3 + H		
C3H6+ + E	C2H + CH4 + H		
C3H6+ + E	C2H + CH3 + H2		
C3H6+ + E	C + CH3 + CH4	BUG !!!!! CH3 ? CH2	
C3H8+ + E	C3H7 + H		
C3H8+ + E	C3H6 + H2		
C3H8+ + E	C3H6 + H + H		
C3H8+ + E	C3H5 + H2 + H		
C3H8+ + E	CH3C2H + H2 + H2		
C3H8+ + E	CH2CCH2 + H2 + H2		
C3H8+ + E	CH3C2H + H2 + H + H		
C3H8+ + E	CH2CCH2 + H2 + H + H		
C3H8+ + E	C2H6 + 1CH2		
C3H8+ + E	C2H6 + 3CH2		
C3H8+ + E	C2H5 + CH3		
C3H8+ + E	C2H5 + CH + H2		
C3H8+ + E	C2H5 + CH + H + H		
C3H8+ + E	C2H5 + 1CH2 + H		
C3H8+ + E	C2H5 + 3CH2 + H		
C3H8+ + E	C2H4 + CH4		
C3H8+ + E	C2H4 + 1CH2 + H2		
C3H8+ + E	C2H4 + 1CH2 + H + H		
C3H8+ + E	C2H4 + 3CH2 + H2		
C3H8+ + E	C2H4 + 3CH2 + H + H		
C3H8+ + E	C2H4 + CH3 + H		
C3H8+ + E	C2H3 + CH3 + H2		
C3H8+ + E	C2H3 + CH3 + H + H		
C3H8+ + E	C2H3 + CH4 + H		
C3H8+ + E	C2H2 + CH4 + H2		
C3H8+ + E	1CH2 + CH3 + CH3		
C3H8+ + E	3CH2 + CH3 + CH3		
C3H8+ + E	1CH2 + CH4 + 1CH2		
C3H8+ + E	1CH2 + CH4 + 3CH2		
C3H8+ + E	3CH2 + CH4 + 3CH2		
C3H8+ + E	CH4 + CH3 + CH		
C3H9+ + E	dummy		
C4H+ + E	C4 + H		
C4H+ + E	C3H + C		
C4H+ + E	C2H + C2		
C4H2+ + E	C4H + H		
C4H2+ + E	C4 + H2		
C4H2+ + E	C3H + CH		
C4H2+ + E	C3H2 + C		
C4H2+ + E	C3 + 1CH2		
C4H2+ + E	C3 + 3CH2		
C4H2+ + E	C2H + C2H		
C4H2+ + E	C2 + C2H2		
C4H4+ + E	C4H3 + H		
C4H4+ + E	C4H2 + H2		
C4H4+ + E	C4H2 + H + H		
C4H4+ + E	C4H + H2 + H		
C4H4+ + E	CH3C2H + C		
C4H4+ + E	CH2CCH2 + C		
C4H4+ + E	C3H3 + CH		
C4H4+ + E	C3H2 + 1CH2		
C4H4+ + E	C3H2 + 3CH2		
C4H4+ + E	C3H2 + C + H2		
C4H4+ + E	C3H + CH3		
C4H4+ + E	C3 + CH4		
C4H4+ + E	C3 + CH3 + H		
C4H4+ + E	C2H4 + C2		
C4H4+ + E	C2H3 + C2H		
C4H4+ + E	C2H2 + C2H2		
C4H4+ + E	C2H2 + C2H + H		
C4H4+ + E	C2H2 + C2 + H2		
C4H4+ + E	C2H + C2H + H2		
C4H6+ + E	C4H5 + H		
C4H6+ + E	C4H4 + H2		
C4H6+ + E	C4H4 + H + H		
C4H6+ + E	C4H3 + H2 + H		
C4H6+ + E	C4H2 + H2 + H2		
C4H6+ + E	C4H2 + H2 + H + H		
C4H6+ + E	C3H6 + C		
C4H6+ + E	C3H5 + CH		
C4H6+ + E	CH3C2H + 1CH2		
C4H6+ + E	CH2CCH2 + 1CH2		
C4H6+ + E	CH3C2H + 3CH2		
C4H6+ + E	CH2CCH2 + 3CH2		
C4H6+ + E	CH3C2H + C + H2		
C4H6+ + E	CH2CCH2 + C + H2		
C4H6+ + E	C3H3 + CH3		
C4H6+ + E	C3H3 + CH + H2		
C4H6+ + E	C3H2 + CH4		
C4H6+ + E	C3H2 + CH3 + H		
C4H6+ + E	C3H2 + 1CH2 + H	Bug !!!!! Manque 1 H	
