 Lambda  Total   C2H2+    C2H+H    C2/H2    C2H/H    C2H2**  
 1851.0 2.67E-19 0.00E+00 0.00E+00 0.00E+00 2.67E-19 0.00E+00
 1858.0 2.75E-19 0.00E+00 0.00E+00 0.00E+00 2.75E-19 0.00E+00
 1863.0 4.99E-19 0.00E+00 0.00E+00 0.00E+00 4.99E-19 0.00E+00
 1868.0 2.15E-19 0.00E+00 0.00E+00 0.00E+00 2.15E-19 0.00E+00
 1874.0 2.07E-19 0.00E+00 0.00E+00 0.00E+00 2.07E-19 0.00E+00
 1880.0 2.82E-19 0.00E+00 0.00E+00 0.00E+00 2.82E-19 0.00E+00
 1885.0 1.22E-19 0.00E+00 0.00E+00 0.00E+00 1.22E-19 0.00E+00
 1890.0 1.68E-19 0.00E+00 0.00E+00 0.00E+00 1.68E-19 0.00E+00
 1893.0 3.38E-19 0.00E+00 0.00E+00 0.00E+00 3.38E-19 0.00E+00
 1900.0 9.64E-20 0.00E+00 0.00E+00 0.00E+00 9.64E-20 0.00E+00
 1907.0 1.18E-19 0.00E+00 0.00E+00 0.00E+00 1.18E-19 0.00E+00
 1911.0 3.07E-19 0.00E+00 0.00E+00 0.00E+00 3.07E-19 0.00E+00
 1918.0 8.60E-20 0.00E+00 0.00E+00 0.00E+00 8.60E-20 0.00E+00
 1924.0 1.04E-19 0.00E+00 0.00E+00 0.00E+00 1.04E-19 0.00E+00
 1927.0 2.04E-19 0.00E+00 0.00E+00 0.00E+00 2.04E-19 0.00E+00
 1936.0 8.30E-20 0.00E+00 0.00E+00 0.00E+00 8.30E-20 0.00E+00
 1946.0 3.00E-19 0.00E+00 0.00E+00 0.00E+00 3.00E-19 0.00E+00
 1951.0 9.12E-20 0.00E+00 0.00E+00 0.00E+00 9.12E-20 0.00E+00
 1958.0 7.48E-20 0.00E+00 0.00E+00 0.00E+00 7.48E-20 0.00E+00
 1963.0 2.08E-19 0.00E+00 0.00E+00 0.00E+00 2.08E-19 0.00E+00
 1971.0 6.81E-20 0.00E+00 0.00E+00 0.00E+00 6.81E-20 0.00E+00
 1974.0 1.12E-19 0.00E+00 0.00E+00 0.00E+00 1.12E-19 0.00E+00
 1978.0 6.33E-20 0.00E+00 0.00E+00 0.00E+00 6.33E-20 0.00E+00
 1981.0 1.19E-19 0.00E+00 0.00E+00 0.00E+00 1.19E-19 0.00E+00
 1990.0 5.81E-20 0.00E+00 0.00E+00 0.00E+00 5.81E-20 0.00E+00
 2000.0 1.44E-19 0.00E+00 0.00E+00 0.00E+00 1.44E-19 0.00E+00
 2011.0 3.72E-20 0.00E+00 0.00E+00 0.00E+00 3.72E-20 0.00E+00
 2306.0 1.00E-28 0.00E+00 0.00E+00 0.00E+00 1.00E-28 0.00E+00 
