Lambda  Total   CH3CN+   CH2CN+H  CHCN+H2  CH2+HCN  CH2CN/H  CH3/CNB2 CH3/CNA2
  786.3 4.95E-17 1.52E-17 1.25E-17 1.83E-18 7.62E-19 1.90E-17 0.00E+00 1.29E-19
  791.4 4.91E-17 1.50E-17 1.23E-17 1.80E-18 7.51E-19 1.91E-17 0.00E+00 2.01E-19
  801.3 4.63E-17 1.38E-17 1.13E-17 1.65E-18 6.90E-19 1.87E-17 0.00E+00 1.57E-19
  806.3 4.56E-17 1.35E-17 1.11E-17 1.62E-18 6.75E-19 1.86E-17 0.00E+00 1.19E-19
  813.0 4.42E-17 1.31E-17 1.07E-17 1.57E-18 6.54E-19 1.80E-17 0.00E+00 1.19E-19
  821.7 4.42E-17 1.31E-17 1.07E-17 0.00E+00 6.54E-19 1.81E-17 0.00E+00 1.69E-18
  822.2 4.40E-17 1.34E-17 1.10E-17 0.00E+00 6.69E-19 1.82E-17 0.00E+00 8.27E-19
  822.7 4.40E-17 1.37E-17 1.13E-17 0.00E+00 6.91E-19 1.82E-17 0.00E+00 1.01E-19
  824.7 4.39E-17 1.37E-17 1.12E-17 0.00E+00 6.85E-19 1.84E-17 0.00E+00 1.76E-20
  828.0 4.28E-17 1.28E-17 1.05E-17 0.00E+00 6.42E-19 1.87E-17 0.00E+00 4.28E-20
  830.5 4.29E-17 1.29E-17 1.06E-17 0.00E+00 6.01E-19 1.87E-17 0.00E+00 1.29E-19
  831.0 4.28E-17 1.31E-17 1.07E-17 0.00E+00 0.00E+00 1.87E-17 0.00E+00 3.85E-19
  831.5 4.27E-17 1.32E-17 1.08E-17 0.00E+00 0.00E+00 1.87E-17 0.00E+00 8.54E-20
  833.0 4.32E-17 1.37E-17 1.12E-17 0.00E+00 0.00E+00 1.83E-17 0.00E+00 0.00E+00
  838.0 4.21E-17 1.29E-17 1.06E-17 0.00E+00 0.00E+00 1.85E-17 0.00E+00 8.42E-20
  844.7 4.14E-17 1.23E-17 1.01E-17 0.00E+00 0.00E+00 1.88E-17 0.00E+00 1.24E-19
  873.0 3.72E-17 1.06E-17 8.67E-18 0.00E+00 0.00E+00 1.78E-17 0.00E+00 1.86E-19
  879.7 3.58E-17 9.81E-18 8.05E-18 0.00E+00 0.00E+00 1.77E-17 0.00E+00 2.15E-19
  885.6 3.56E-17 9.93E-18 8.15E-18 0.00E+00 0.00E+00 1.73E-17 0.00E+00 2.14E-19
  886.1 3.52E-17 1.38E-17 0.00E+00 0.00E+00 0.00E+00 1.73E-17 0.00E+00 4.12E-18
  886.6 3.50E-17 1.77E-17 0.00E+00 0.00E+00 0.00E+00 1.73E-17 0.00E+00 0.00E+00
  894.7 3.23E-17 1.51E-17 0.00E+00 0.00E+00 0.00E+00 1.72E-17 0.00E+00 0.00E+00
  906.4 3.05E-17 1.40E-17 0.00E+00 0.00E+00 0.00E+00 1.65E-17 0.00E+00 0.00E+00
  919.7 2.95E-17 1.34E-17 0.00E+00 0.00E+00 0.00E+00 1.61E-17 0.00E+00 0.00E+00
  928.1 2.88E-17 1.31E-17 0.00E+00 0.00E+00 0.00E+00 1.57E-17 0.00E+00 0.00E+00
  934.7 2.74E-17 1.21E-17 0.00E+00 0.00E+00 0.00E+00 1.53E-17 0.00E+00 0.00E+00
  944.7 2.42E-17 9.39E-18 0.00E+00 0.00E+00 0.00E+00 1.46E-17 1.21E-19 4.79E-20
  949.6 2.04E-17 6.75E-18 0.00E+00 0.00E+00 0.00E+00 1.35E-17 1.12E-19 3.04E-20
  953.0 1.89E-17 5.69E-18 0.00E+00 0.00E+00 0.00E+00 1.31E-17 1.08E-19 2.48E-20
  959.6 1.75E-17 4.87E-18 0.00E+00 0.00E+00 0.00E+00 1.25E-17 1.05E-19 3.50E-20
  961.3 1.65E-17 4.14E-18 0.00E+00 0.00E+00 0.00E+00 1.22E-17 9.98E-20 3.22E-20
  964.7 1.89E-17 5.56E-18 0.00E+00 0.00E+00 0.00E+00 1.32E-17 1.17E-19 3.38E-20
  967.9 1.51E-17 3.53E-18 0.00E+00 0.00E+00 0.00E+00 1.14E-17 1.01E-19 3.53E-20
  969.7 2.18E-17 8.68E-18 0.00E+00 0.00E+00 0.00E+00 1.29E-17 1.40E-19 3.40E-20
  976.3 1.30E-17 2.63E-18 0.00E+00 0.00E+00 0.00E+00 1.02E-17 9.70E-20 3.30E-20
  979.6 1.40E-17 3.64E-18 0.00E+00 0.00E+00 0.00E+00 1.02E-17 9.97E-20 2.63E-20
  981.4 1.82E-17 6.06E-18 0.00E+00 0.00E+00 0.00E+00 1.20E-17 1.27E-19 3.68E-20
  986.3 1.19E-17 1.57E-18 0.00E+00 0.00E+00 0.00E+00 1.02E-17 8.95E-20 1.76E-20
  989.6 1.09E-17 1.79E-18 0.00E+00 0.00E+00 0.00E+00 8.98E-18 9.66E-20 3.42E-20
  991.2 9.12E-18 1.27E-18 0.00E+00 0.00E+00 0.00E+00 7.75E-18 7.98E-20 2.05E-20
 1001.2 6.67E-18 7.34E-19 0.00E+00 0.00E+00 0.00E+00 5.86E-18 6.02E-20 1.99E-20
 1007.9 5.61E-18 3.60E-19 0.00E+00 0.00E+00 0.00E+00 5.17E-18 5.36E-20 2.38E-20
 1011.2 3.51E-18 1.32E-19 0.00E+00 0.00E+00 0.00E+00 3.33E-18 3.65E-20 1.09E-20
 1016.2 1.40E-18 2.79E-20 0.00E+00 0.00E+00 0.00E+00 1.35E-18 1.69E-20 5.60E-21
 1017.8 7.02E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.84E-19 8.49E-21 9.06E-21
 1018.0 7.02E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.91E-19 8.49E-21 2.74E-21
 1029.0 7.02E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.90E-19 9.06E-21 2.88E-21
 1031.2 7.02E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.90E-19 9.06E-21 2.88E-21
 1034.5 7.02E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.91E-19 8.78E-21 2.46E-21
 1036.7 1.05E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.03E-18 1.31E-20 3.68E-21
 1040.1 3.51E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.44E-19 4.39E-21 2.63E-21
 1060.0 8.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.36E-17 1.11E-18 3.37E-19
 1066.0 7.80E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.66E-17 1.08E-18 3.38E-19
 1070.0 8.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.34E-17 1.21E-18 4.03E-19
 1076.0 6.00E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.88E-17 9.58E-19 2.91E-19
 1080.0 7.70E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.53E-17 1.26E-18 3.94E-19
 1083.0 8.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.32E-17 1.36E-18 4.30E-19
 1090.0 5.90E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.78E-17 9.28E-19 2.73E-19
 1098.0 6.30E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.17E-17 9.87E-19 2.94E-19
