Lambda  Total   NH2/H    sNH/H2   NH/H/H   NH3+     NH2+H    NH+H2    N+H2/H   H+NH2   
 1111.0 2.33E-17 1.77E-18 3.96E-18 9.04E-18 8.53E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1115.0 2.37E-17 1.92E-18 3.96E-18 9.01E-18 8.82E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1120.0 2.16E-17 1.79E-18 3.48E-18 7.95E-18 8.38E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1122.0 2.33E-17 2.07E-18 3.89E-18 8.88E-18 8.46E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1125.0 2.03E-17 1.87E-18 3.23E-18 7.35E-18 7.86E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1127.0 2.10E-17 2.14E-18 3.57E-18 8.11E-18 7.18E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1130.0 1.92E-17 1.92E-18 3.11E-18 7.07E-18 7.10E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1136.0 2.08E-17 2.35E-18 3.52E-18 7.95E-18 6.99E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1140.0 1.84E-17 2.12E-18 3.16E-18 7.21E-18 5.91E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1142.0 1.68E-17 1.98E-18 2.79E-18 6.23E-18 5.80E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1145.0 1.71E-17 2.19E-18 2.91E-18 6.41E-18 5.59E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1150.0 1.90E-17 2.75E-18 3.46E-18 7.60E-18 5.19E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1152.0 2.06E-17 3.21E-18 4.39E-18 8.05E-18 4.94E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
