 Lambda  Total   H/CN(*)  HCN+    
 1754.5 2.36E-20 2.36E-20 0.00E+00
 1759.5 6.83E-21 6.83E-21 0.00E+00
 1762.5 1.00E-19 1.00E-19 0.00E+00
 1769.0 7.99E-21 7.99E-21 0.00E+00
 1771.5 5.26E-20 5.26E-20 0.00E+00
 1774.5 7.32E-21 7.32E-21 0.00E+00
 1780.0 5.26E-21 5.26E-21 0.00E+00
 1781.5 1.33E-20 1.33E-20 0.00E+00
 1785.5 2.10E-21 2.10E-21 0.00E+00
 1787.5 6.51E-21 6.51E-21 0.00E+00
 1788.5 5.40E-21 5.40E-21 0.00E+00
 1789.5 4.46E-20 4.46E-20 0.00E+00
 1792.5 5.18E-21 5.18E-21 0.00E+00
 1793.0 8.97E-21 8.97E-21 0.00E+00
 1797.0 1.63E-21 1.63E-21 0.00E+00
 1799.0 2.01E-20 2.01E-20 0.00E+00
 1802.5 1.75E-21 1.75E-21 0.00E+00
 1805.0 3.90E-21 3.90E-21 0.00E+00
 1808.0 2.65E-21 2.65E-21 0.00E+00
 1808.5 7.45E-21 7.45E-21 0.00E+00
 1812.5 2.41E-21 2.41E-21 0.00E+00
 1814.5 6.20E-21 6.20E-21 0.00E+00
 1817.0 2.90E-21 2.90E-21 0.00E+00
 1818.5 1.00E-20 1.00E-20 0.00E+00
 1822.5 2.47E-21 2.47E-21 0.00E+00
 1823.5 4.60E-21 4.60E-21 0.00E+00
 1826.5 1.33E-21 1.33E-21 0.00E+00
 1829.0 4.95E-21 4.95E-21 0.00E+00
 1834.0 1.05E-21 1.05E-21 0.00E+00
 1836.0 1.49E-21 1.49E-21 0.00E+00
 1837.5 1.10E-21 1.10E-21 0.00E+00
 1839.5 3.41E-21 3.41E-21 0.00E+00
 1841.0 1.13E-21 1.13E-21 0.00E+00
 1843.5 3.33E-21 3.33E-21 0.00E+00
 1845.5 1.24E-21 1.24E-21 0.00E+00
 1848.5 5.76E-21 5.76E-21 0.00E+00
 1852.5 1.45E-21 1.45E-21 0.00E+00
 1855.0 2.01E-21 2.01E-21 0.00E+00
 1859.0 8.39E-22 8.39E-22 0.00E+00
 1861.0 1.52E-21 1.52E-21 0.00E+00
 1864.5 5.53E-22 5.53E-22 0.00E+00
 1866.0 9.59E-22 9.59E-22 0.00E+00
 1868.5 4.46E-22 4.46E-22 0.00E+00
 1870.5 1.91E-21 1.91E-21 0.00E+00
 1872.5 6.96E-22 6.96E-22 0.00E+00
 1874.0 1.59E-21 1.59E-21 0.00E+00
 1876.5 4.95E-22 4.95E-22 0.00E+00
 1880.5 1.91E-21 1.91E-21 0.00E+00
 1885.5 3.33E-22 3.33E-22 0.00E+00
 1886.5 4.60E-22 4.60E-22 0.00E+00
 1890.0 2.71E-22 2.71E-22 0.00E+00
 1891.5 3.33E-22 3.33E-22 0.00E+00
 1895.0 2.15E-22 2.15E-22 0.00E+00
 1898.0 3.65E-22 3.65E-22 0.00E+00
 1900.5 2.71E-22 2.71E-22 0.00E+00
 1902.5 5.40E-22 5.40E-22 0.00E+00
 1905.0 3.65E-22 3.65E-22 0.00E+00
 1907.0 6.83E-22 6.83E-22 0.00E+00
 1912.0 2.71E-22 2.71E-22 0.00E+00
